actor_id,first_name,last_name,gender
1192,Brunno,Abrahão,M
1202,Martin Maria,Abram,M
1207,Pedro,Abramian,M
1223,Seth,Abramovitch,M
1225,Sofiane,Abramovitz,M
1226,Andy,Abramowicz,M
1232,Zachary Scott,Abramowitz,M
1234,Aaron,Abrams,M
1245,Dominick,Abrams,M
1251,Eric (II),Abrams,M
1262,Kevin (I),Abrams,M
1282,Haim,Abramsky,M
1283,Roy,Abramsohn,M
1291,Keith,Abramson,M
1304,Benjamim,Abras,M
1308,Ed,Abratowski,M
1314,Brad,Abrell,M
1319,Agustín,Abreu,M
1320,Alejandro,Abreu,M
1326,Danny,Abreu,M
1333,Jorge Luis,Abreu,M
1337,Leo,Abreu,M
1346,Carlos,Abrevaya,M
1348,Josef,Abrhám,M
1352,Jean-Paul,Abribat,M
1355,Luis,Abril,M
1366,Abdel Ali,Abrouk,M
1370,Panopea,Abrupta,M
1377,Ray,Abruzzo,M
1378,Tony,Abruzzo,M
1387,Joe,Absolom,M
1389,Malcolm,Absolom,M
1396,Matt,Abts,M
1416,Yussuf,Abu-Warda,M
1419,Earnest,Abuba,M
1425,James,Abucewicz,M
1429,Mohammed,Abudin,M
1433,Mustafa,Abuelhija,M
1441,André,Abujamra,M
1442,Antonio,Abujamra,M
1445,Nadav,Abuksis,M
1454,Joe,Aburdene,M
1463,Jari,Abusuis,M
1464,Omar,Abusuis,M
1465,Alon,Abutbul,M
1469,João,Acaiabe,M
1470,João Batista,Acaibe,M
1475,Francisco,Acanché,M
1476,Mariachi,Acapulco,M
1477,Adnan,Acar,M
1499,Joseph,Accerelli,M
1521,Jim,Accomando,M
1525,Roberto,Accornero,M
1526,Stefano,Accorsi,M
1532,Thomas,Acda,M
1550,David,Acer,M
1554,Angelo,Acerbi,M
1558,Hermie,Acereda,M
1582,Horacio (II),Acevedo,M
1585,Kirk,Acevedo,M
1592,Roberto,Acevedo,M
1593,Ronnie,Acevedo,M
1595,Toneey,Acevedo,M
1598,Alejandro,Acevedo-Gutiérrez,M
1610,Mustafa,Achaara,M
1618,Olivier,Achard,M
1620,Ganesh,Acharya,M
1622,Jon,Achaval,M
1626,Patrick,Achdjian,M
1638,James (III),Acheson,M
1640,Mark,Acheson,M
1642,Matt,Acheson,M
1646,Israel,Achig,M
1648,Felix,Achille,M
1651,Harry,Achilles,M
1655,Enrico,Achilli,M
1665,Adurrazack,Achmat,M
1667,Rodrigo,Achondo,M
1668,John,Achorn,M
1671,Stanimir,Achov,M
1682,Spencer,Achtymichuk,M
1686,Vinny,Achutha,M
1693,Peker,Acikalin,M
1694,Dejan,Acimovic,M
1701,Aaron,Acker,M
1702,Anthony,Acker,M
1708,Ron,Acker,M
1710,Trey,Acker,M
1715,Alexandre,Ackerman,M
1720,Don (II),Ackerman,M
1722,Forrest J,Ackerman,M
1729,Josh,Ackerman,M
1730,Karl,Ackerman,M
1735,Peter,Ackerman,M
1736,Randy,Ackerman,M
1754,Thilo,Ackermann,M
1758,David,Ackert,M
1760,Richard,Acket,M
1761,Rasmus,Acking,M
1763,Joss,Ackland,M
1768,Alan,Ackles,M
1780,Anthony,Ackroyd,M
1781,David,Ackroyd,M
1797,Paul,Acocella,M
1803,Sims,Acolatse,M
1812,Lance,Acord,M
1823,Balbino,Acosta,M
1827,Carlos (IV),Acosta,M
1832,Dennis,Acosta,M
1836,Elio,Acosta,M
1846,Heriberto,Acosta,M
1847,Horacio,Acosta,M
1853,Jesse,Acosta,M
1854,John,Acosta,M
1872,Pablo,Acosta,M
1876,Robert,Acosta,M
1890,Jay,Acovone,M
1899,Dan,Acre,M
1907,Robert,Acres,M
1913,Eric,Acsell,M
1926,Mark,Acueza,M
1931,Joey,Acuna Jr.,M
1942,Arthur (I),Acuña,M
1943,Arthur (II),Acuña,M
1944,Daniel,Acuña,M
1948,Gregor,Acuña,M
1949,Jason,Acuña,M
1953,Vicente,Acuña,M
1954,Peter,Aczel,M
1960,Aleksandr,Adabashyan,M
1965,Jeff,Adachi,M
1975,Azi,Adadi,M
1979,Ethan,Adagio,M
1983,Alexis,Adair,M
2010,Tim (II),Adair,M
2011,Tom (V),Adair,M
2012,Mark,Adair-Rios,M
2013,Homi,Adajania,M
2023,Raúl,Adalid,M
2025,Jack,Adalist,M
2028,Alvin,Adam,M
2030,Andy,Adam,M
2031,Arnaud,Adam,M
2032,Brett,Adam,M
2034,Christian,Adam,M
2035,Dietrich,Adam,M
2040,Garth,Adam,M
2054,Ken,Adam,M
2075,Vikas,Adam,M
2082,Marcin,Adamczewski,M
2090,Piotr,Adamczyk,M
2104,Juan Carlos,Adames,M
2116,Stanislav,Adamickij,M
2121,Angelo,Adamo,M
2129,Salvatore,Adamo,M
2132,William J.,Adamo,M
2137,Archie,Adamos,M
2145,Jozef,Adamovíc,M
2152,Adrian,Adams,M
2158,Allen (II),Adams,M
2168,Ben (III),Adams,M
2169,Ben (V),Adams,M
2171,Benji,Adams,M
2172,Benson,Adams,M
2178,Blake,Adams,M
2181,Brandon Quintin,Adams,M
2192,Bryan (I),Adams,M
2207,Chip,Adams,M
2208,Chris (II),Adams,M
2209,Chris (IV),Adams,M
2213,Christopher (IV),Adams,M
2216,Clark,Adams,M
2228,Darryl,Adams,M
2229,Dave (I),Adams,M
2231,Dave (VII),Adams,M
2236,David (VI),Adams,M
2244,Dereck,Adams,M
2253,Don (V),Adams,M
2260,Douglas,Adams,M
2265,Eddie (I),Adams,M
2266,Eddie (III),Adams,M
2269,Erik,Adams,M
2273,Evan,Adams,M
2278,Frank E.,Adams,M
2283,Geoff (I),Adams,M
2294,Granville,Adams,M
2297,Guilford,Adams,M
2299,Hal,Adams,M
2305,Hayden,Adams,M
2310,Hugh (II),Adams,M
2312,J. (II),Adams,M
2314,J.B.,Adams,M
2329,Jay (III),Adams,M
2332,Jeffrey,Adams,M
2333,Jerry (II),Adams,M
2338,Jim (III),Adams,M
2340,Jimmie (II),Adams,M
2342,Joe (III),Adams,M
2356,Jonathan (II),Adams,M
2360,Joseph (II),Adams,M
2382,Lloyd (I),Adams,M
2394,Mark C.,Adams,M
2401,Matt (I),Adams,M
2413,Nate,Adams,M
2414,Neal,Adams,M
2422,Orny,Adams,M
2423,Patch,Adams,M
2425,Patrick (II),Adams,M
2435,R.J.,Adams,M
2442,Rich,Adams,M
2454,Rob (I),Adams,M
